sample_id	depth	iter	shannon	observed_features	faith_pd	group
SRR10070130	6025	1	6.445843123062676	564.0	43.6451230716461	Riverwater
SRR10070130	6025	2	6.477500179416081	553.0	41.23120729500354	Riverwater
SRR10070130	6025	3	6.410120610621196	540.0	40.91919434603423	Riverwater
SRR10070130	6025	4	6.410554497257377	557.0	42.87632312016603	Riverwater
SRR10070130	6025	5	6.393040697168569	538.0	40.65770453661881	Riverwater
SRR10070130	6025	6	6.430084556400958	540.0	42.64387394055866	Riverwater
SRR10070130	6025	7	6.38269657392259	553.0	41.6446417268029	Riverwater
SRR10070130	6025	8	6.487157056508025	565.0	42.41032121613415	Riverwater
SRR10070130	6025	9	6.443633425984267	558.0	42.99997964758581	Riverwater
SRR10070130	6025	10	6.516573896104573	558.0	41.16055063954255	Riverwater
SRR10070130	6326	1	6.488355081543294	549.0	41.19478177270106	Riverwater
SRR10070130	6326	2	6.4415501110083415	553.0	43.3850133413174	Riverwater
SRR10070130	6326	3	6.412326094172055	545.0	41.64206185112305	Riverwater
SRR10070130	6326	4	6.465453154053466	560.0	43.06677065477723	Riverwater
SRR10070130	6326	5	6.428284202899969	542.0	41.3837553906504	Riverwater
SRR10070130	6326	6	6.417612397713569	559.0	42.64760148071472	Riverwater
SRR10070130	6326	7	6.445644699648965	558.0	43.81994756101795	Riverwater
SRR10070130	6326	8	6.414726103151326	549.0	41.91868696158095	Riverwater
SRR10070130	6326	9	6.465689894836182	549.0	43.20003183679437	Riverwater
SRR10070130	6326	10	6.430289405107264	551.0	43.14097867038589	Riverwater
SRR10070130	6627	1	6.512873291911943	584.0	44.46415459406694	Riverwater
SRR10070130	6627	2	6.399504962616862	550.0	42.67921135141078	Riverwater
SRR10070130	6627	3	6.444613208927229	562.0	42.68017660325859	Riverwater
SRR10070130	6627	4	6.476986873072876	565.0	42.58200940192364	Riverwater
SRR10070130	6627	5	6.416383809152287	563.0	42.88851807170912	Riverwater
SRR10070130	6627	6	6.482694015877586	570.0	43.73153616191745	Riverwater
SRR10070130	6627	7	6.442555778595981	569.0	43.48112259846659	Riverwater
SRR10070130	6627	8	6.495248492942361	573.0	44.06081448935085	Riverwater
SRR10070130	6627	9	6.468768763435545	567.0	43.97876163918637	Riverwater
SRR10070130	6627	10	6.43871531857219	563.0	43.84222429308603	Riverwater
SRR10070130	6928	1	6.522410758362719	582.0	43.36377029560958	Riverwater
SRR10070130	6928	2	6.404209219482043	576.0	43.92839810285185	Riverwater
SRR10070130	6928	3	6.493679683514634	573.0	42.10333035812256	Riverwater
SRR10070130	6928	4	6.428416226526228	570.0	45.13909106844824	Riverwater
SRR10070130	6928	5	6.453241536069129	574.0	44.29578614392123	Riverwater
SRR10070130	6928	6	6.4267354307448565	578.0	43.33643422255179	Riverwater
SRR10070130	6928	7	6.424480466945428	568.0	43.42178356067759	Riverwater
SRR10070130	6928	8	6.456834739093794	571.0	43.08521887411953	Riverwater
SRR10070130	6928	9	6.502274883325472	557.0	43.18606364656748	Riverwater
SRR10070130	6928	10	6.461722018315266	567.0	42.99353068348744	Riverwater
SRR10070130	7229	1	6.483531881628988	570.0	44.38190575821572	Riverwater
SRR10070130	7229	2	6.416619403260166	569.0	43.13048410510292	Riverwater
SRR10070130	7229	3	6.442982502103591	588.0	44.60357473279589	Riverwater
SRR10070130	7229	4	6.4695348753245545	571.0	43.27831763584042	Riverwater
SRR10070130	7229	5	6.489167471881377	575.0	43.89438616654253	Riverwater
SRR10070130	7229	6	6.474733369371652	574.0	44.38020012972761	Riverwater
SRR10070130	7229	7	6.384875979872968	559.0	43.84097610090995	Riverwater
SRR10070130	7229	8	6.455816991916298	566.0	43.8229595023834	Riverwater
SRR10070130	7229	9	6.491555272006584	564.0	43.30677836241446	Riverwater
SRR10070130	7229	10	6.4457644308021305	570.0	43.82109793273749	Riverwater
SRR10070130	7531	1	6.421708227627683	567.0	43.23544384858224	Riverwater
SRR10070130	7531	2	6.479435842217904	581.0	45.52803355724911	Riverwater
SRR10070130	7531	3	6.483886266211714	578.0	44.03484742204227	Riverwater
SRR10070130	7531	4	6.4859760404242985	570.0	42.79481569515783	Riverwater
SRR10070130	7531	5	6.431135090317165	579.0	44.82422629586527	Riverwater
SRR10070130	7531	6	6.5409239967593455	592.0	44.96526491210673	Riverwater
SRR10070130	7531	7	6.451528548329304	576.0	44.39979075879551	Riverwater
SRR10070130	7531	8	6.42460318487958	567.0	42.53655342218342	Riverwater
SRR10070130	7531	9	6.447833015239461	585.0	43.31272864524986	Riverwater
SRR10070130	7531	10	6.455217419664093	563.0	44.43211170339873	Riverwater
SRR10070130	7832	1	6.471281617831314	575.0	43.70934012805262	Riverwater
SRR10070130	7832	2	6.459198443174251	583.0	44.73082890738389	Riverwater
SRR10070130	7832	3	6.52806978412799	592.0	44.29304042426875	Riverwater
SRR10070130	7832	4	6.567860478630505	591.0	45.37651073724771	Riverwater
SRR10070130	7832	5	6.441502459043624	589.0	46.15390023753035	Riverwater
SRR10070130	7832	6	6.447061080120879	576.0	44.6687817762726	Riverwater
SRR10070130	7832	7	6.456201794669721	581.0	44.70137965106974	Riverwater
SRR10070130	7832	8	6.4460561980653015	574.0	42.89765111607729	Riverwater
SRR10070130	7832	9	6.464734638203657	579.0	44.37292832987157	Riverwater
SRR10070130	7832	10	6.500518170224038	591.0	44.36649830509545	Riverwater
SRR10070130	8133	1	6.482697232755545	587.0	44.41253030610859	Riverwater
SRR10070130	8133	2	6.482718295052535	579.0	43.53375939499725	Riverwater
SRR10070130	8133	3	6.502389354562768	590.0	44.86235015754244	Riverwater
SRR10070130	8133	4	6.454406929059101	583.0	42.91283166411307	Riverwater
SRR10070130	8133	5	6.478837447712312	585.0	44.18833667741293	Riverwater
SRR10070130	8133	6	6.457616817792901	581.0	44.21915615450008	Riverwater
SRR10070130	8133	7	6.46442664569397	589.0	45.30069907668729	Riverwater
SRR10070130	8133	8	6.458832118077708	591.0	44.3697870633332	Riverwater
SRR10070130	8133	9	6.554123883168251	593.0	45.08409393623823	Riverwater
SRR10070130	8133	10	6.475487931870325	600.0	45.43004926099447	Riverwater
SRR10070130	8434	1	6.474492857076994	597.0	45.49800128148524	Riverwater
SRR10070130	8434	2	6.476635780836111	597.0	45.91066686668528	Riverwater
SRR10070130	8434	3	6.492800743570576	596.0	44.99478630844013	Riverwater
SRR10070130	8434	4	6.406180448676332	591.0	46.08024144835314	Riverwater
SRR10070130	8434	5	6.471011333050983	589.0	44.30822362599178	Riverwater
SRR10070130	8434	6	6.437232111079174	586.0	44.98870547130124	Riverwater
SRR10070130	8434	7	6.467780569153107	587.0	43.94438452949738	Riverwater
SRR10070130	8434	8	6.470338280671127	593.0	45.41531013183648	Riverwater
SRR10070130	8434	9	6.455008544874261	582.0	44.03363943349806	Riverwater
SRR10070130	8434	10	6.5117554990105	591.0	44.5377455966408	Riverwater
SRR10070130	8735	1	6.459570766791163	584.0	43.92560713298505	Riverwater
SRR10070130	8735	2	6.447615115156078	596.0	45.54875306623632	Riverwater
SRR10070130	8735	3	6.432945286354273	594.0	44.65394266684065	Riverwater
SRR10070130	8735	4	6.4898198604748565	599.0	45.78665594599652	Riverwater
SRR10070130	8735	5	6.506774563631835	589.0	45.86174257555739	Riverwater
SRR10070130	8735	6	6.472226344331016	596.0	46.24189760886707	Riverwater
SRR10070130	8735	7	6.445136078384127	593.0	45.97404664191883	Riverwater
SRR10070130	8735	8	6.466552946078021	590.0	45.64328754046615	Riverwater
SRR10070130	8735	9	6.490160324049114	593.0	44.62451365571334	Riverwater
SRR10070130	8735	10	6.474152924536829	605.0	45.76400574360365	Riverwater
SRR10070130	9037	1	6.492960069930118	599.0	45.49846382607227	Riverwater
SRR10070130	9037	2	6.495829857602074	597.0	45.14039555453803	Riverwater
SRR10070130	9037	3	6.43172971775531	594.0	45.83034977396	Riverwater
SRR10070130	9037	4	6.458200012584716	601.0	45.72175668882752	Riverwater
SRR10070130	9037	5	6.475223117399548	598.0	44.9318673883828	Riverwater
SRR10070130	9037	6	6.44345477408682	597.0	44.82635497811028	Riverwater
SRR10070130	9037	7	6.516916165244261	595.0	44.9005215257396	Riverwater
SRR10070130	9037	8	6.4766563371941706	587.0	44.12271248759691	Riverwater
SRR10070130	9037	9	6.478077649053165	593.0	44.80371247403566	Riverwater
SRR10070130	9037	10	6.466340841792934	603.0	45.90896734406017	Riverwater
SRR10070130	9338	1	6.486954183552143	600.0	45.26971328035566	Riverwater
SRR10070130	9338	2	6.501429941091127	599.0	44.19675073385233	Riverwater
SRR10070130	9338	3	6.458989523045325	605.0	45.79826644669861	Riverwater
SRR10070130	9338	4	6.435519381041628	592.0	44.27743916311167	Riverwater
SRR10070130	9338	5	6.480165079361098	595.0	44.64401056023529	Riverwater
SRR10070130	9338	6	6.471902511717994	606.0	46.12220049305589	Riverwater
SRR10070130	9338	7	6.454011655808293	591.0	44.92261482915409	Riverwater
SRR10070130	9338	8	6.517826693777117	598.0	46.0552359138659	Riverwater
SRR10070130	9338	9	6.499401951388382	592.0	45.60701860846925	Riverwater
SRR10070130	9338	10	6.452963739866847	601.0	46.12151066947011	Riverwater
SRR10070130	9639	1	6.455818785331662	597.0	44.49274263943532	Riverwater
SRR10070130	9639	2	6.488053766154459	601.0	45.72669622447448	Riverwater
SRR10070130	9639	3	6.504725365177994	596.0	45.33292656564473	Riverwater
SRR10070130	9639	4	6.461985165825682	599.0	46.21010691289313	Riverwater
SRR10070130	9639	5	6.496422694078819	603.0	45.52164647044618	Riverwater
SRR10070130	9639	6	6.465084061591525	594.0	43.75725493667538	Riverwater
SRR10070130	9639	7	6.470523945668343	598.0	45.6359636161406	Riverwater
SRR10070130	9639	8	6.516960789979738	598.0	45.33584880345943	Riverwater
SRR10070130	9639	9	6.474404239585886	598.0	45.34220168279926	Riverwater
SRR10070130	9639	10	6.3819967410781	598.0	46.40501048972683	Riverwater
SRR10070130	9940	1	6.512329772111956	606.0	45.68632047809995	Riverwater
SRR10070130	9940	2	6.5104223630137	601.0	46.72183197680123	Riverwater
SRR10070130	9940	3	6.498198542792071	605.0	46.83206413145739	Riverwater
SRR10070130	9940	4	6.444594907160868	606.0	46.42580058256485	Riverwater
SRR10070130	9940	5	6.453630675714403	601.0	45.24579666276702	Riverwater
SRR10070130	9940	6	6.457597195103434	604.0	46.66503493267567	Riverwater
SRR10070130	9940	7	6.484544168939498	599.0	45.11783154501928	Riverwater
SRR10070130	9940	8	6.492448955489386	603.0	46.0049360360215	Riverwater
SRR10070130	9940	9	6.479471437234695	608.0	45.75967541866491	Riverwater
SRR10070130	9940	10	6.442067467872158	605.0	45.12352248168176	Riverwater
SRR10070130	10241	1	6.459855694208481	616.0	46.97865112096393	Riverwater
SRR10070130	10241	2	6.492064884251392	611.0	46.95263250741149	Riverwater
SRR10070130	10241	3	6.434687827795656	592.0	44.14479503071392	Riverwater
SRR10070130	10241	4	6.525604513237079	604.0	44.93177225236889	Riverwater
SRR10070130	10241	5	6.499424779534511	604.0	46.40813054910127	Riverwater
SRR10070130	10241	6	6.463806359418185	611.0	46.54444916902457	Riverwater
SRR10070130	10241	7	6.478148900702654	605.0	46.03485756733777	Riverwater
SRR10070130	10241	8	6.450670908982733	606.0	46.12730382743506	Riverwater
SRR10070130	10241	9	6.468149873604482	607.0	47.30320631469122	Riverwater
SRR10070130	10241	10	6.45672061876439	603.0	46.41908698828667	Riverwater
SRR10070130	10543	1	6.519582527785053	609.0	46.73592477956396	Riverwater
SRR10070130	10543	2	6.543406568623826	601.0	45.46334819573901	Riverwater
SRR10070130	10543	3	6.495144214112195	611.0	46.54954881725914	Riverwater
SRR10070130	10543	4	6.472752674873058	604.0	46.36465759464058	Riverwater
SRR10070130	10543	5	6.459549241762315	612.0	46.94497267974846	Riverwater
SRR10070130	10543	6	6.465708205764486	602.0	45.70155932703945	Riverwater
SRR10070130	10543	7	6.485702240250824	616.0	47.61375145361718	Riverwater
SRR10070130	10543	8	6.529581053430557	609.0	46.62834881449103	Riverwater
SRR10070130	10543	9	6.461072809145085	607.0	46.63666916302764	Riverwater
SRR10070130	10543	10	6.474261302816417	615.0	46.88732751822534	Riverwater
SRR10070130	10844	1	6.45506965255474	610.0	47.17893811895364	Riverwater
