sample_id	rank	taxon	abundance	lineage	habitat
SRR10070134	Genus	Flavobacterium	0.20128219863862176	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	Riverwater
SRR10070134	Genus	""	0.1920743777377623	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;	Riverwater
SRR10070134	Genus	""	0.034634688326117775	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;	Riverwater
SRR10070134	Genus	Agitococcus	0.030880042910233326	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Agitococcus	Riverwater
SRR10070134	Genus	""	0.025477951036358762	Bacteria;;;;;	Riverwater
SRR10070134	Genus	Rhodoferax	0.023651711939517005	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax	Riverwater
SRR10070134	Genus	Acinetobacter	0.02362617013396677	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Riverwater
SRR10070134	Kingdom	Bacteria	0.9921969784044035	Bacteria	Riverwater
SRR10070134	Kingdom	Archaea	0.007803021595596592	Archaea	Riverwater
SRR10070134	Order	Burkholderiales	0.36874704672873326	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	Riverwater
SRR10070134	Order	Flavobacteriales	0.20492190592953016	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales	Riverwater
SRR10070134	Order	Pseudomonadales	0.07197680804056039	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Riverwater
SRR10070134	Order	""	0.025477951036358762	Bacteria;;;	Riverwater
SRR10070134	Order	Campylobacterales	0.0247627804809522	Bacteria;Campilobacterota;Campylobacteria;Campylobacterales	Riverwater
SRR10070134	Order	Aeromonadales	0.022974854092435795	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales	Riverwater
SRR10070134	Order	""	0.021799931037125013	Bacteria;Candidatus_Saccharibacteria;;	Riverwater
SRR10070134	Phylum	Proteobacteria	0.6445857757684891	Bacteria;Proteobacteria	Riverwater
SRR10070134	Phylum	Bacteroidetes	0.2269644841193824	Bacteria;Bacteroidetes	Riverwater
SRR10070134	Phylum	""	0.025477951036358762	Bacteria;	Riverwater
SRR10070134	Phylum	Campilobacterota	0.0247627804809522	Bacteria;Campilobacterota	Riverwater
SRR10070134	Phylum	Candidatus_Saccharibacteria	0.021799931037125013	Bacteria;Candidatus_Saccharibacteria	Riverwater
SRR10070134	Phylum	Verrucomicrobia	0.010625391108897488	Bacteria;Verrucomicrobia	Riverwater
SRR10070134	Phylum	Firmicutes	0.009654802497988583	Bacteria;Firmicutes	Riverwater
SRR10070141	Class	Betaproteobacteria	0.4930019007183234	Bacteria;Proteobacteria;Betaproteobacteria	Groundwater
SRR10070141	Class	""	0.10377428352793068	Bacteria;;	Groundwater
SRR10070141	Class	Nitrosopumilales	0.09812149786477747	Archaea;Thaumarchaeota;Nitrosopumilales	Groundwater
SRR10070141	Class	Gammaproteobacteria	0.0914072720989361	Bacteria;Proteobacteria;Gammaproteobacteria	Groundwater
SRR10070141	Class	Alphaproteobacteria	0.046876157093135196	Bacteria;Proteobacteria;Alphaproteobacteria	Groundwater
SRR10070141	Class	""	0.02270988126681642	Bacteria;Candidatus_Saccharibacteria;	Groundwater
SRR10070141	Class	Clostridia	0.01737799609982474	Bacteria;Firmicutes;Clostridia	Groundwater
SRR10070141	Family	Comamonadaceae	0.32981165609340674	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Groundwater
SRR10070141	Family	Gallionellaceae	0.11026634741181407	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae	Groundwater
SRR10070141	Family	""	0.10377428352793068	Bacteria;;;;	Groundwater
SRR10070141	Family	Nitrosopumilus	0.09812149786477747	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus	Groundwater
SRR10070141	Family	""	0.04685147243958431	Bacteria;Proteobacteria;Gammaproteobacteria;;	Groundwater
SRR10070141	Family	Sphingomonadaceae	0.030090592678531758	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	Groundwater
SRR10070141	Family	""	0.026116363456838883	Bacteria;Proteobacteria;Betaproteobacteria;;	Groundwater
SRR10070141	Genus	Polaromonas	0.24111969588506826	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	Groundwater
SRR10070141	Genus	Sideroxydans	0.11026634741181407	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans	Groundwater
SRR10070141	Genus	""	0.10377428352793068	Bacteria;;;;;	Groundwater
SRR10070141	Genus	""	0.09812149786477747	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;	Groundwater
SRR10070141	Genus	Acidovorax	0.05112191750388783	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	Groundwater
SRR10070141	Genus	""	0.04685147243958431	Bacteria;Proteobacteria;Gammaproteobacteria;;;	Groundwater
SRR10070141	Genus	""	0.026116363456838883	Bacteria;Proteobacteria;Betaproteobacteria;;;	Groundwater
SRR10070141	Kingdom	Bacteria	0.8792179901755078	Bacteria	Groundwater
SRR10070141	Kingdom	Archaea	0.12078200982449214	Archaea	Groundwater
